b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
-1.845524,4.071172,-0.288652,0.402264,3.168094,3.826737,-0.224064,0.957519,0.204657,3.945755,0.683482,-0.593272
-1.848359,4.075192,-0.283530,0.401961,3.165824,3.836314,-0.227023,0.957645,0.211471,3.939825,0.681336,-0.593080
-1.851144,4.079208,-0.278450,0.401641,3.163524,3.845891,-0.229996,0.957760,0.218263,3.933896,0.679245,-0.592860
-1.853878,4.083221,-0.273409,0.401305,3.161194,3.855470,-0.232982,0.957863,0.225035,3.927970,0.677208,-0.592613
-1.856562,4.087231,-0.268408,0.400955,3.158834,3.865049,-0.235983,0.957954,0.231787,3.922047,0.675224,-0.592339
-1.859196,4.091237,-0.263446,0.400590,3.156444,3.874630,-0.238998,0.958032,0.238520,3.916126,0.673293,-0.592038
-1.861781,4.095239,-0.258523,0.400210,3.154024,3.884211,-0.242027,0.958099,0.245234,3.910209,0.671414,-0.591710
-1.864318,4.099237,-0.253637,0.399817,3.151573,3.893792,-0.245070,0.958152,0.251930,3.904296,0.669587,-0.591356
-1.866806,4.103231,-0.248788,0.399410,3.149092,3.903374,-0.248126,0.958193,0.258608,3.898386,0.667811,-0.590976
-1.869245,4.107221,-0.243977,0.398990,3.146580,3.912957,-0.251197,0.958221,0.265269,3.892480,0.666085,-0.590570
-1.871637,4.111207,-0.239201,0.398558,3.144037,3.922539,-0.254282,0.958235,0.271913,3.886579,0.664408,-0.590138
-1.873982,4.115188,-0.234461,0.398114,3.141464,3.932121,-0.257381,0.958236,0.278541,3.880682,0.662782,-0.589680
-1.876280,4.119164,-0.229756,0.397658,3.138859,3.941704,-0.260493,0.958223,0.285153,3.874790,0.661204,-0.589198
-1.878531,4.123136,-0.225086,0.397191,3.136222,3.951286,-0.263620,0.958197,0.291750,3.868903,0.659674,-0.588689
-1.880735,4.127103,-0.220451,0.396713,3.133555,3.960867,-0.266760,0.958156,0.298332,3.863022,0.658192,-0.588156
-1.882894,4.131065,-0.215848,0.396224,3.130856,3.970448,-0.269914,0.958100,0.304899,3.857146,0.656757,-0.587598
-1.885006,4.135023,-0.211279,0.395725,3.128125,3.980029,-0.273081,0.958030,0.311453,3.851276,0.655369,-0.587014
-1.887074,4.138975,-0.206743,0.395216,3.125362,3.989608,-0.276263,0.957945,0.317993,3.845412,0.654027,-0.586406
-1.889096,4.142921,-0.202239,0.394697,3.122568,3.999187,-0.279457,0.957845,0.324521,3.839554,0.652730,-0.585773
-1.891074,4.146863,-0.197767,0.394169,3.119741,4.008764,-0.282666,0.957730,0.331035,3.833703,0.651479,-0.585116
-1.893007,4.150799,-0.193326,0.393632,3.116882,4.018340,-0.285887,0.957599,0.337538,3.827858,0.650272,-0.584434
-1.894896,4.154730,-0.188916,0.393086,3.113991,4.027914,-0.289123,0.957452,0.344029,3.822021,0.649109,-0.583727
-1.896742,4.158656,-0.184536,0.392532,3.111067,4.037487,-0.292371,0.957290,0.350509,3.816191,0.647989,-0.582996
-1.898543,4.162575,-0.180187,0.391970,3.108111,4.047058,-0.295633,0.957111,0.356978,3.810369,0.646913,-0.582241
-1.900302,4.166489,-0.175867,0.391400,3.105122,4.056627,-0.298908,0.956915,0.363437,3.804554,0.645879,-0.581461
-1.902018,4.170397,-0.171576,0.390822,3.102100,4.066195,-0.302195,0.956703,0.369886,3.798747,0.644887,-0.580657
-1.903691,4.174300,-0.167314,0.390238,3.099045,4.075759,-0.305496,0.956474,0.376325,3.792949,0.643936,-0.579828
-1.905322,4.178196,-0.163081,0.389646,3.095957,4.085322,-0.308810,0.956227,0.382756,3.787159,0.643027,-0.578976
-1.906910,4.182086,-0.158875,0.389047,3.092835,4.094882,-0.312136,0.955964,0.389177,3.781378,0.642158,-0.578099
-1.908457,4.185971,-0.154697,0.388441,3.089681,4.104438,-0.315475,0.955682,0.395590,3.775606,0.641329,-0.577197
-1.909963,4.189849,-0.150547,0.387830,3.086492,4.113992,-0.318826,0.955383,0.401996,3.769844,0.640539,-0.576272
-1.911427,4.193721,-0.146423,0.387212,3.083270,4.123543,-0.322190,0.955065,0.408394,3.764090,0.639788,-0.575322
-1.912850,4.197587,-0.142326,0.386588,3.080015,4.133090,-0.325566,0.954729,0.414784,3.758347,0.639076,-0.574348
-1.914233,4.201446,-0.138255,0.385959,3.076725,4.142634,-0.328954,0.954375,0.421168,3.752613,0.638402,-0.573349
-1.915575,4.205299,-0.134209,0.385324,3.073402,4.152174,-0.332354,0.954001,0.427546,3.746890,0.637766,-0.572327
