y,v,y_next,v_next
3.3696,-1.1760,3.3069,-1.5680
3.3069,-1.5680,3.2285,-1.9600
3.2285,-1.9600,3.1344,-2.3520
3.1344,-2.3520,3.0246,-2.7440
3.0246,-2.7440,2.8992,-3.1360
2.8992,-3.1360,2.7581,-3.5280
2.7581,-3.5280,2.6013,-3.9200
2.6013,-3.9200,2.4288,-4.3120
2.4288,-4.3120,2.2406,-4.7040
2.2406,-4.7040,2.0368,-5.0960
2.0368,-5.0960,1.8173,-5.4880
1.8173,-5.4880,1.5821,-5.8800
1.5821,-5.8800,1.3312,-6.2720
1.3312,-6.2720,1.0646,-6.6640
1.0646,-6.6640,0.7824,-7.0560
0.7824,-7.0560,0.5000,4.4688
0.5000,4.4688,0.6631,4.0768
0.6631,4.0768,0.8105,3.6848
0.8105,3.6848,0.9422,3.2928
0.9422,3.2928,1.0582,2.9008
1.0582,2.9008,1.1586,2.5088
1.1586,2.5088,1.2432,2.1168
1.2432,2.1168,1.3122,1.7248
1.3122,1.7248,1.3655,1.3328
1.3655,1.3328,1.4032,0.9408
1.4032,0.9408,1.4251,0.5488
1.4251,0.5488,1.4314,0.1568
1.4314,0.1568,1.4220,-0.2352
1.4220,-0.2352,1.3969,-0.6272
1.3969,-0.6272,1.3561,-1.0192
1.3561,-1.0192,1.2997,-1.4112
1.2997,-1.4112,1.2276,-1.8032
1.2276,-1.8032,1.1397,-2.1952
1.1397,-2.1952,1.0363,-2.5872
1.0363,-2.5872,0.9171,-2.9792
0.9171,-2.9792,0.7822,-3.3712
0.7822,-3.3712,0.6317,-3.7632
0.6317,-3.7632,0.5000,2.4931
0.5000,2.4931,0.5840,2.1011
0.5840,2.1011,0.6524,1.7091
0.6524,1.7091,0.7051,1.3171
0.7051,1.3171,0.7421,0.9251
0.7421,0.9251,0.7634,0.5331
0.7634,0.5331,0.7691,0.1411
0.7691,0.1411,0.7590,-0.2509
0.7590,-0.2509,0.7333,-0.6429
0.7333,-0.6429,0.6919,-1.0349
0.6919,-1.0349,0.6348,-1.4269
0.6348,-1.4269,0.5621,-1.8189
0.5621,-1.8189,0.5000,1.3265
0.5000,1.3265,0.5374,0.9345
0.5374,0.9345,0.5591,0.5425
0.5591,0.5425,0.5651,0.1505
0.5651,0.1505,0.5554,-0.2415
0.5554,-0.2415,0.5301,-0.6335
0.5301,-0.6335,0.5000,0.6153
0.5000,0.6153,0.5089,0.2233
0.5089,0.2233,0.5022,-0.1687
0.5022,-0.1687,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
