y,v,y_next,v_next
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
0.5000,0.0000,0.5000,0.0000
8.4322,0.0000,8.4166,-0.3920
8.4166,-0.3920,8.3852,-0.7840
8.3852,-0.7840,8.3382,-1.1760
8.3382,-1.1760,8.2754,-1.5680
8.2754,-1.5680,8.1970,-1.9600
8.1970,-1.9600,8.1030,-2.3520
8.1030,-2.3520,7.9932,-2.7440
7.9932,-2.7440,7.8678,-3.1360
7.8678,-3.1360,7.7266,-3.5280
7.7266,-3.5280,7.5698,-3.9200
7.5698,-3.9200,7.3974,-4.3120
7.3974,-4.3120,7.2092,-4.7040
7.2092,-4.7040,7.0054,-5.0960
7.0054,-5.0960,6.7858,-5.4880
6.7858,-5.4880,6.5506,-5.8800
6.5506,-5.8800,6.2998,-6.2720
6.2998,-6.2720,6.0332,-6.6640
6.0332,-6.6640,5.7510,-7.0560
5.7510,-7.0560,5.4530,-7.4480
5.4530,-7.4480,5.1394,-7.8400
5.1394,-7.8400,4.8102,-8.2320
4.8102,-8.2320,4.4652,-8.6240
4.4652,-8.6240,4.1046,-9.0160
4.1046,-9.0160,3.7282,-9.4080
3.7282,-9.4080,3.3362,-9.8000
3.3362,-9.8000,2.9286,-10.1920
2.9286,-10.1920,2.5052,-10.5840
2.5052,-10.5840,2.0662,-10.9760
2.0662,-10.9760,1.6114,-11.3680
1.6114,-11.3680,1.1410,-11.7600
1.1410,-11.7600,0.6550,-12.1520
0.6550,-12.1520,0.5000,7.5264
0.5000,7.5264,0.7854,7.1344
0.7854,7.1344,1.0551,6.7424
1.0551,6.7424,1.3091,6.3504
1.3091,6.3504,1.5474,5.9584
1.5474,5.9584,1.7701,5.5664
1.7701,5.5664,1.9771,5.1744
1.9771,5.1744,2.1684,4.7824
2.1684,4.7824,2.3440,4.3904
2.3440,4.3904,2.5039,3.9984
2.5039,3.9984,2.6482,3.6064
2.6482,3.6064,2.7767,3.2144
2.7767,3.2144,2.8896,2.8224
2.8896,2.8224,2.9868,2.4304
2.9868,2.4304,3.0684,2.0384
3.0684,2.0384,3.1342,1.6464
3.1342,1.6464,3.1844,1.2544
3.1844,1.2544,3.2189,0.8624
3.2189,0.8624,3.2377,0.4704
3.2377,0.4704,3.2409,0.0784
3.2409,0.0784,3.2283,-0.3136
3.2283,-0.3136,3.2001,-0.7056
3.2001,-0.7056,3.1562,-1.0976
