b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
-7.9351068,4.7664804,-0.9967232,0.6033652,-5.7411227,7.0354414,-0.5530336,0.8298649,0.9161239,2.592057,0.3496232,-0.50528175
-7.8038087,4.7012944,-0.85293275,0.573744,-5.8880277,7.307612,-0.5282104,0.80790776,0.7498573,2.721586,0.3057809,-0.55564326
-7.6470585,4.617716,-0.6883538,0.54053235,-6.025888,7.5967994,-0.49675456,0.779383,0.54208416,2.8399823,0.24910367,-0.6147043
-7.468575,4.512653,-0.5221287,0.51501954,-6.180675,7.911778,-0.4510822,0.7501871,0.30050725,2.9426067,0.19740093,-0.6567301
-7.2870245,4.382002,-0.35872352,0.4908199,-6.35922,8.256886,-0.4050747,0.7119358,0.034499664,3.0610373,0.12934244,-0.6579507
-7.1099377,4.2255135,-0.20309256,0.47100583,-6.560323,8.632038,-0.3833327,0.6602105,-0.249772,3.2007506,0.038568072,-0.626731
-6.9587045,4.035373,-0.06150316,0.44304422,-6.7949195,9.0293455,-0.37466255,0.59879327,-0.53082037,3.336867,-0.07060505,-0.58157176
-6.8433614,3.8210843,0.06720785,0.4139892,-7.049562,9.424638,-0.36782965,0.54269,-0.81177104,3.463278,-0.18431294,-0.52432925
-6.7537446,3.593757,0.18594791,0.3796457,-7.306768,9.824427,-0.34800747,0.48597434,-1.0898885,3.5931432,-0.2897976,-0.44151038
-6.6885467,3.349527,0.2990123,0.3417381,-7.561373,10.229975,-0.32430843,0.4331849,-1.361807,3.7290108,-0.38396394,-0.34346133
-6.65041,3.1118286,0.40352267,0.31582287,-7.8301377,10.631525,-0.29544595,0.38457653,-1.6162869,3.8663445,-0.46784836,-0.24246259
-6.6153684,2.8683245,0.5026543,0.29894608,-8.102276,11.04716,-0.2703329,0.3435399,-1.8516796,3.9911897,-0.5312237,-0.1630276
-6.581738,2.6223557,0.6033954,0.29145852,-8.376579,11.480705,-0.24643806,0.31530136,-2.0714006,4.1043844,-0.582364,-0.094827846
-6.573314,2.3795073,0.70678717,0.29288894,-8.653051,11.926625,-0.22328362,0.29156968,-2.2610745,4.206397,-0.6149746,-0.032689765
-6.5906262,2.1324127,0.7995834,0.29469123,-8.94397,12.38368,-0.1954607,0.27479154,-2.4287236,4.2904196,-0.65268046,0.027488992
-6.6442995,1.891743,0.8853513,0.3016907,-9.254989,12.847691,-0.15462962,0.2737419,-2.5799096,4.36902,-0.69025654,0.07887964
-6.723161,1.6544591,0.9637311,0.3170506,-9.580926,13.332806,-0.11315063,0.28038543,-2.720065,4.4480124,-0.7273094,0.12033217
-6.824858,1.4176067,1.0379714,0.33818018,-9.925788,13.837921,-0.06888226,0.2932238,-2.853267,4.5291686,-0.7628474,0.1539201
-6.9473195,1.1782771,1.1085894,0.36346626,-10.293138,14.361092,-0.018828422,0.31438136,-2.9813433,4.615849,-0.799541,0.18142109
-7.087911,0.94139713,1.1683472,0.38622057,-10.678038,14.906143,0.03985724,0.34957063,-3.0983262,4.7095356,-0.83980894,0.21042864
-7.2490788,0.7135691,1.2183692,0.40325332,-11.080381,15.474228,0.10411546,0.39792165,-3.205501,4.8104753,-0.88293606,0.23946445
-7.4313345,0.49247974,1.2631657,0.4199907,-11.503769,16.070187,0.17010853,0.4538848,-3.308957,4.9197826,-0.93045634,0.26580447
-7.6344905,0.27729338,1.3053509,0.438207,-11.950329,16.696707,0.23668143,0.5145025,-3.4125705,5.0383277,-0.98179287,0.28929943
-7.859719,0.06862408,1.3447576,0.45769498,-12.419685,17.353943,0.29991648,0.5753658,-3.5168939,5.1673627,-1.0370216,0.31158274
-8.106274,-0.13362342,1.383662,0.47872826,-12.912699,18.042936,0.36086616,0.6369736,-3.6240616,5.3079534,-1.0946654,0.333291
-8.374071,-0.3305021,1.4224494,0.50068176,-13.42995,18.764843,0.41866693,0.6995873,-3.7353368,5.461619,-1.1541964,0.35424727
-8.663131,-0.52293235,1.4615004,0.5232568,-13.971899,19.520964,0.47283694,0.7633385,-3.8516765,5.6296787,-1.2155281,0.37459582
-8.973253,-0.71119267,1.5017734,0.5468365,-14.539414,20.31283,0.52414,0.8280382,-3.973929,5.8127084,-1.2786796,0.3948869
-9.30452,-0.8927364,1.5464296,0.56955135,-15.131272,21.138535,0.56880677,0.8907013,-4.1012745,6.0115833,-1.3408136,0.41399497
-9.654802,-1.0654873,1.5963542,0.5917467,-15.745429,21.999393,0.6044041,0.9489727,-4.2346864,6.226888,-1.3994521,0.43485206
-10.024489,-1.2310584,1.650555,0.61434174,-16.382288,22.896824,0.6338475,1.004936,-4.3734007,6.4595385,-1.4577516,0.45868558
-10.4140625,-1.390823,1.7080147,0.637587,-17.042892,23.832619,0.6589829,1.059674,-4.5170345,6.7101965,-1.5169861,0.48516816
-10.824011,-1.5458357,1.7680819,0.6616828,-17.728577,24.808813,0.68094754,1.1139872,-4.665552,6.9795322,-1.577808,0.5136661
-11.25515,-1.6965419,1.8305551,0.6868896,-18.441238,25.827236,0.7001015,1.1683475,-4.8188353,7.2681427,-1.6407579,0.54371566
-11.708406,-1.8429013,1.8954548,0.7134787,-19.183151,26.889515,0.71636236,1.2230103,-4.9767394,7.576537,-1.706246,0.5750558
-12.1837845,-1.9855446,1.962451,0.74154115,-19.955624,27.998316,0.73061514,1.2785705,-5.140049,7.9054766,-1.7741795,0.60718316
-12.681834,-2.125118,2.031526,0.7711349,-20.760273,29.156507,0.74358463,1.3352975,-5.3094816,8.255789,-1.8446999,0.6397731
-13.203243,-2.2620971,2.1027832,0.8023685,-21.598923,30.367025,0.75570583,1.3935183,-5.4856987,8.628373,-1.9180475,0.6725926
