b0x, b0y, b0vx, b0vy,b1x, b1y, b1vx, b1vy,b2x, b2y, b2vx, b2vy
0.273913,-2.478295,-0.056179,-0.374189,4.694771,2.326867,-0.025055,-0.029286,0.038767,-3.757464,0.081428,0.404375
0.273337,-2.482128,-0.057603,-0.383303,4.694515,2.326568,-0.025576,-0.029896,0.039601,-3.753323,0.083381,0.414145
0.272746,-2.486053,-0.059044,-0.392513,4.694254,2.326262,-0.026096,-0.030507,0.040454,-3.749083,0.085353,0.424014
0.272141,-2.490071,-0.060505,-0.401822,4.693988,2.325951,-0.026616,-0.031118,0.041328,-3.744743,0.087345,0.433984
0.271521,-2.494184,-0.061986,-0.411235,4.693717,2.325634,-0.027135,-0.031729,0.042221,-3.740302,0.089356,0.444058
0.270887,-2.498391,-0.063488,-0.420755,4.693440,2.325311,-0.027655,-0.032340,0.043135,-3.735760,0.091389,0.454242
0.270237,-2.502695,-0.065010,-0.430386,4.693159,2.324981,-0.028175,-0.032952,0.044070,-3.731114,0.093443,0.464540
0.269571,-2.507097,-0.066555,-0.440133,4.692872,2.324646,-0.028694,-0.033563,0.045025,-3.726365,0.095519,0.474955
0.268890,-2.511596,-0.068123,-0.450000,4.692579,2.324304,-0.029214,-0.034174,0.046001,-3.721510,0.097619,0.485493
0.268193,-2.516196,-0.069715,-0.459992,4.692282,2.323956,-0.029733,-0.034785,0.046998,-3.716548,0.099744,0.496158
0.267479,-2.520897,-0.071332,-0.470113,4.691979,2.323602,-0.030252,-0.035397,0.048017,-3.711479,0.101893,0.506955
0.266750,-2.525701,-0.072974,-0.480369,4.691672,2.323242,-0.030771,-0.036008,0.049058,-3.706300,0.104069,0.517889
0.266003,-2.530609,-0.074644,-0.490765,4.691359,2.322876,-0.031290,-0.036619,0.050121,-3.701010,0.106272,0.528966
0.265240,-2.535622,-0.076341,-0.501307,4.691041,2.322503,-0.031809,-0.037231,0.051206,-3.695609,0.108504,0.540191
0.264459,-2.540742,-0.078068,-0.512000,4.690718,2.322125,-0.032328,-0.037843,0.052314,-3.690093,0.110765,0.551571
0.263661,-2.545970,-0.079824,-0.522850,4.690389,2.321740,-0.032847,-0.038454,0.053444,-3.684462,0.113057,0.563111
0.262845,-2.551309,-0.081612,-0.533864,4.690055,2.321350,-0.033365,-0.039066,0.054598,-3.678713,0.115381,0.574819
0.262010,-2.556759,-0.083433,-0.545049,4.689716,2.320953,-0.033883,-0.039678,0.055775,-3.672846,0.117738,0.586700
0.261157,-2.562324,-0.085288,-0.556412,4.689373,2.320550,-0.034402,-0.040290,0.056977,-3.666859,0.120130,0.598763
0.260286,-2.568003,-0.087179,-0.567959,4.689023,2.320141,-0.034920,-0.040901,0.058202,-3.660748,0.122558,0.611014
0.259395,-2.573800,-0.089106,-0.579699,4.688669,2.319726,-0.035438,-0.041513,0.059452,-3.654514,0.125024,0.623462
0.258484,-2.579716,-0.091073,-0.591640,4.688310,2.319304,-0.035956,-0.042126,0.060728,-3.648153,0.127529,0.636114
0.257553,-2.585754,-0.093079,-0.603791,4.687945,2.318877,-0.036473,-0.042738,0.062028,-3.641663,0.130076,0.648981
